Center;Sub;Subject ;SubAnimacy;Verb;DO;Comp;sem_humq;sem_abstract;sem_freq;sem_physq;sem_size;sem_quant;sem_dist;sem_speed;k1_sem;k1_rank;;;;;;;
 куда как Adv;0;0;0;достать;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;я;1;заниматься;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;быть;1;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;1;она;1;0;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;войны;0;0;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;заваривать;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;состав;0;1;стать;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;0;0;0;ощутить;1;1;0;0;0;0;0;0;0;0;time;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;все;0;быть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;нечто;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;0;либерализация;быть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;это;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;перевести;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;я;1;стать;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;1;население;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;коммуналка;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;партия;0;работать;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;отступные;0;обойтись;0;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;1;все;0;быть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;иные;0;наводить;1;1;0;0;0;0;0;0;1;0;dist;qual;;;;;;;
 куда как Adv;1;упрек-намек;0;прозвучать;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;хлеб;0;являть;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;Ереван;0;0;0;1;0;0;0;0;0;0;1;0;dist;qual;;;;;;;
 куда как AdvComp;0;0;0;бежать;0;1;0;0;0;0;0;0;1;0;dist;qual;;;;;;;
 куда как AdvComp;0;0;0;быть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;было;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
